nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6567035,0.15152012,0.56245357,0.2310642,0.6343677,0.26712295,0.67361534,0.33143792,0.671334,0.4164937,0.76699984,0.3001181,0.83129627,0.41235873,0.44153643,0.49446303,0.5494075,0.5057576,0.34049988,0.6772449,0.7117707,0.67520905,0.13798787,0.77403086,0.5902112,0.8648713
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64387137,0.15153275,0.5531747,0.23357882,0.6243369,0.26613614,0.65568715,0.33835894,0.6596064,0.4175246,0.7534578,0.3021872,0.81849444,0.41113234,0.43502352,0.4948961,0.5417018,0.5059142,0.33402783,0.67708904,0.69905317,0.6770139,0.13087681,0.77260035,0.58176214,0.8643242
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6468216,0.1485655,0.5594279,0.23198055,0.6202952,0.26202023,0.66518104,0.32773352,0.6672079,0.40286243,0.73830575,0.2820533,0.82499915,0.39351204,0.4379489,0.494862,0.530518,0.504074,0.34800625,0.6772119,0.6841572,0.6782877,0.16160005,0.7676199,0.55583423,0.8568113
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6563428,0.14721575,0.5664259,0.21654099,0.6332789,0.2666524,0.66876566,0.2751487,0.7016629,0.39264375,0.7199937,0.2635406,0.83996165,0.381003,0.45483807,0.48365995,0.5420352,0.50141644,0.37049055,0.6639058,0.6711426,0.68538326,0.1913996,0.7563374,0.5442038,0.85303235
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66089606,0.15057476,0.5662309,0.21064247,0.6214995,0.266284,0.66390806,0.23998079,0.7043587,0.36958116,0.7021013,0.23685525,0.8590473,0.37655875,0.453284,0.48303747,0.52476394,0.5027126,0.38150564,0.66615325,0.6629298,0.6903796,0.21052395,0.74686116,0.5276734,0.8465403
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6427021,0.14438543,0.55831516,0.20944712,0.61399835,0.2557043,0.64686304,0.2713169,0.7126179,0.3735794,0.6692265,0.2268404,0.86422956,0.36795548,0.44919208,0.48200548,0.5141894,0.49993494,0.3907921,0.65625185,0.63116544,0.6930401,0.22138509,0.7349999,0.48323035,0.8438069
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62966955,0.1498256,0.53564453,0.21443032,0.5954437,0.24947357,0.6545494,0.31489527,0.7096175,0.3627558,0.0,0.0,0.86149424,0.35802007,0.41962084,0.48228553,0.48174465,0.49740845,0.38887525,0.6595514,0.5844041,0.6872832,0.20646812,0.7502766,0.42351246,0.8471334
0.0,0.0,0.0,0.0,0.64015245,0.1453948,0.0,0.0,0.6117011,0.15442093,0.51515996,0.21654387,0.576442,0.24951313,0.64294136,0.3168945,0.6894716,0.3608803,0.0,0.0,0.8474998,0.35703167,0.39959836,0.4814245,0.46117592,0.49673337,0.38334167,0.65541697,0.5676869,0.68867236,0.2080773,0.7457543,0.3962017,0.8434148
0.0,0.0,0.0,0.0,0.63842446,0.14118724,0.0,0.0,0.6093006,0.15182248,0.5083673,0.20480104,0.57755846,0.25166175,0.6335734,0.29157445,0.71154976,0.35690075,0.0,0.0,0.8657513,0.34806478,0.3938967,0.48007762,0.45213225,0.50114036,0.40514737,0.6417786,0.5415181,0.6924923,0.23756287,0.7405641,0.37750894,0.83920884
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5777163,0.15280052,0.46717462,0.20443118,0.54974526,0.25401443,0.50251526,0.31273475,0.6893991,0.35991555,0.0,0.0,0.844622,0.3516968,0.36242327,0.47853044,0.41470662,0.5019449,0.39306945,0.63716745,0.4789532,0.7027003,0.23617586,0.7325692,0.31084618,0.8434148
